Id,Rooms,SqrMeters,Floor,Location,Description
187,3,82,1,Poznań Łazarz,Polecamy!! Ciekawe przestronne 3-pokojowe mieszkanie położone na pierwszym piętrze pięknej zabytkowej kamienicy w atrakcyjnej lokalizacji nieopodal Parku Wilsona. Mieszkanie o powierzchni 82 50m2 po generalnym remoncie! Wymieniono: -...
188,1,37,3,Poznań Stare Miasto ul. Piątkowska,Polecam na sprzedaż luksusowy apartament o pow 37 m2 zlokalizowany w nowo powstałym kompleksie przy ul. Piątkowskiej. Lokal usytuowany na III piętrze nowoczesnego budynku wykończonego z wysokiej klasy materiałów. Składa się z salonu połączonego...
189,2,40.1,3,Poznań Grunwald ul. Hetmańska,MIESZKANIE PO GENERALNYM REMONCIE W ZREWITALIZOWANEJ KAMIENICY. MOŻLIWA OPCJA ZAKUPU Z SYSTEMIE MDM. Mieszkanie położone w dobrze skomunikowanej dzielnicy leżącej na obrzeżach Centrum Poznaniu tj. na Górczynie. Kamienica w pełni odrestaurowana...
190,3,64,1,Poznań Stare Miasto Piątkowo ul. Os. Stefana Batorego,Polecam na sprzedaż mieszkanie o powierzchni 64m2 3 pokoje pełna KW na os. Batorego (Piątkowo) Mieszkanie na parterze 3pokoje lazienka i toaleta osobno piwnica.(Blok niski bez windy) Kompleks niskich zabudowań plac zabaw zieleń w...
191,2,50.2,5,Poznań Grunwald ul. Kamiennogórska,Mieszkać wśród spokojnej zieleni czy dać się porwać rytmowi miasta? Trudny wybór ale nie musi Cię dotyczyć jeśli zamieszkasz na Młodym Grunwaldzie! Poznaj miejsce dzięki któremu skorzystasz z wygód miasta i ciszy Lasku Marcelińskiego! Zrób...
192,6,128,1,Poznań Jeżyce ul. Gen. Jana Henryka Dąbrowskiego,Prestiżowy lokal w centrum - Rynek Jeżycki I piętro stylowej kamienicy - stan idealny! OKAZJA!!! Do sprzedaży mieszkanie o powierzchni całkowitej 128 m2. Cena sprzedaży wynosi 999 000 zł. Mieszkanie znajduje się w kamienicy z 1906r. na 1...
193,2,55,1,Poznań Górczyn ul. Górczyn,Oferuję do sprzedaży 2 pokojowe mieszkanie o pow.55m2 w willi miejskiej na Górczynie.Mieszkanie znajduje się na I piętrze i składa się z dwóch niezależnych pokoi w tym jeden z balkonem widnej kuchni przedpokoju i łazienki.Stan...
194,3,58.53,6,Poznań Winogrady ul. Hawelańska,Osiedle Nowe Winogrady zbudowaliśmy w północnej części Poznania w sąsiedztwie największego w mieście parku Cytadela i terenów rekreacyjnych nad Wartą. Pasjonaci historii mogą zwiedzać pobliskie stare forty z muzeami militariów. Lokalizacja...
195,1,30,8,Poznań Rataje,KAWALERKA DLA SINGLA STUDENTA PARY! Doskonała lokalizacja! Zapraszam do zapoznania się z ofertą sprzedaży mieszkania idealnego dla singla pary studenta. Forma własności – spółdzielcze - własnościowe bez KW Mieszkanie o powierzchni...
196,3,68.75,1,Poznań Stare Miasto Naramowice,Mieszkanie na Naramowicach. Nieruchomość położona w Poznaniu wśród zabudowy jednorodzinnej. Rozkładowe przestronne mieszkanie na parterze w bloku mieszkalnym w dzielnicy Naramowice. Na piętrze znajdują się dwa mieszkania. Dwupiętrowy blok...
197,2,36.35,5,Poznań Winogrady ul. Hawelańska,Osiedle Nowe Winogrady zbudowaliśmy w północnej części Poznania w sąsiedztwie największego w mieście parku Cytadela i terenów rekreacyjnych nad Wartą. Pasjonaci historii mogą zwiedzać pobliskie stare forty z muzeami militariów. Lokalizacja...
198,2,49,3,Poznań Rataje ul. Powstań Narodowych,Pragniesz zamieszkać w spokojnej okolicy Rataj świetnie skomunikowanej z resztą miasta? A może poszukujesz mieszkania które idealnie nadaje się pod inwestycję? Jeśli tak oferta z pewnością jest dla Ciebie! Przedstawiam Państwu na sprzedaż...
199,1,26.5,6,Poznań Winogrady Stare Miasto ul. Os. Kosmonautów- Cena Do Negocjacji!,Widna kuchnia bardzo dobra lokalizacja na sprzedaż kawalerka gotowa do wprowadzenia w cichej i atrakcyjnej okolicy Winograd na os. Kosmonautów. Mieszkanie o powierzchni 26 50m2 obejmuje: pokój 16m2 (przerobiony na dwa mniejsze) odrębną ...
200,2,49,1,Poznań Piątkowo/Winogrady ul. Sobieskiego,ATRAKCYJNA OFERTA 285 000 ZŁ DO NEGOCJACJI !!! Polecam na sprzedaż ładne mieszkanie 2 pokojowe o powierzchni 49 2m2 na osiedlu Jana III Sobieskiego na parterze w niskim bloku. Lokal składa się z ustawnych przestrzennych i niezależnych...
201,2,38,4,Poznań Rataje ul. Os.Powstań Narodowych,Mieszkanie w dobrej jakości po remoncie w 2012 roku. Spółdzielczo - własnościowe czynsz 320zł. Jasna kuchnia z wysokiej klasy meblami otwarta na pokój- płytki pokoje 16m i 10m-panele wc i łazienka-płytki nowe poziomy wodne okna PCV...
202,2,39,6,Poznań Łazarz,Polecam zakup mieszkania dwu pokojowego w idealnej lokalizacji o powierzchni 39m 2 w bloku przy ul. Kordeckiego / Górczyn. Dwa niezależne pokoje oddzielna kuchnia łazienka korytarz piwnica. Mieszkanie mieści się na 6 piętrze w bloku ...
203,2,44,2,Poznań Nowe Miasto Rataje Starołęka ul. Os. Bohaterów Ii Wojny Świat.,Gorąco polecam dwupokojowe mieszkanie w świetnej lokalizacji na os. Bohaterów II Wojny Światowej (Rataje) w Poznaniu. Oferta klasyfikuje się do programu MDM. OPIS MIESZKANIA: Bardzo zadbane mieszkanie o powierzchni 44m2 znajduje się na drugim...
204,3,63,10,Poznań Rataje ul. Os. Rusa,Na sprzedaż bardzo ładne mieszkanie położone w Poznaniu (Rataje) na os. Rusa. Mieszkanie o pow 62 90 m2 znajduje się na 10-piętrze w 10-piętrowym bloku. Układ: 3 niezależne pokoje (powierzchnia: 18m2 12 4 m2 i 11 4 m2) jasna kuchnia (7 8 m2) ...
205,4,104,1,Poznań Centrum ul. Krakowska,Rozkładowe przestronne mieszkanie na pierwszym piętrze w kamienicy w Poznaniu w dzielnicy Centrum. Cztery pokoje okna wychodzące na północ południe; widok na inne budynki. Standard wykończenia: Ściany - glazura gładź gipsowa; Podłogi -...
206,1,33,4,Poznań Ogrody ul. Meissnera,Polecam na kawalerkę na sprzedaż położoną na ul. Meissnera w inwestycji Nowe Ogrody. Budynek z 2014 roku osiedle monitorowane. Mieszkanie o pow. 33m2 położone na 4 piętrze. Mieszkanie bardzo słoneczne-położone od południowej strony....
207,2,38,8,Poznań Górczyn ul. Pogodna,z balkonem i aneksem kuchennym. Po ewentualnym wydzieleniu kuchni jako osobnej - kuchnia byłaby ciemna - bez okna. łazienka świeżo po remoncie z wanną i wc. Do mieszkania należy piwnica.Powyższa propozycja ma charakter informacyjny a nie stanowi...
208,3,78,3,Poznań Centrum Stare Miasto ul. Strzałowa Rybaki Długa,Polecam na sprzedaż-Strzałowa-Rybaki Ścisłe Centrum Poznania Mieszkanie znajduje się na trzecim piętrze kamienicy . Mieszkanie o powierzchni 78m kw składa się z: 2 pokoje niezależne z oknami ok. 27mkw i 20mkw jeden pokój przejściowy-bez okna ...
209,2,32,1,Poznań Grunwald ul. Keplera,Przytulne mieszkanie na drugim piętrze w bloku mieszkalnym w Poznaniu w dzielnicy Grunwald. Dwa pokoje okna wychodzące na wschód; widok na podwórko. Standard wykończenia: Ściany - gładź gipsowa; Podłogi - panele podłogowe; Okna - PCV; Parapety...
210,3,51.73,4,Poznań Winogrady ul. Hawelańska,Osiedle Nowe Winogrady zbudowaliśmy w północnej części Poznania w sąsiedztwie największego w mieście parku Cytadela i terenów rekreacyjnych nad Wartą. Pasjonaci historii mogą zwiedzać pobliskie stare forty z muzeami militariów. Lokalizacja...
211,3,70,3,Poznań Wilda ul. Kilińskiego,Mieszkanie o pow. 70 21 m2 na trzecim piętrze kamienicy położonej przy ul. Kilińskiego na Wildzie. Lokal składa się z trzech pokoi w układzie przejściowym o pow. 21 20 i 19 50 m2. Na podłogach drewniane deski do odświeżenia. Największy pokój...
212,3,85.1,2,Poznań Centrum ul. Szyperska,Rozkładowe przestronne mieszkanie na drugim piętrze w budynku o podwyższonym standardzie w Poznaniu w dzielnicy Centrum. Trzy pokoje okna wychodzące na północ zachód; widok na panoramę miasta. Standard wykończenia: Ściany - tynk; Podłogi -...
213,3,86,4,Poznań Stare Miasto ul. Na Murawie,Polecam na sprzedaż piękne trzy pokojowe mansardowe mieszkanie przy os. Na Murawie. Mieszkanie o powierzchni 86 m2 (po obrysie 125 m2) znajdujące się na ostatnim piętrze niskiego czteropiętrowego bloku składa się z: - przestronnego dużego...
214,2,52,2,Poznań Grunwald Górczyn Łazarz ul. Hetmańska/Jarachowskiego,DWUPOKOJOWE NIEPRZEJŚCIOWE 52M.KW GRUNWALD UL.HETMAŃSKA/JARACHOWSKIEGO 250 000 ! BARDZO DOBRA LOKALIZACJA DO ZAMIESZKANIA I NA WYNAJEM! CENA DO NEGOCJACJI ! Oferuję na sprzedaż dwupokojowe przestronne mieszkanie o pow.52m.kw znajdujące się na...
215,3,97,1,Poznań Naramowice Winogrady Piątkowo ul. Wysoki Standard Ul. Rubież,Drodzy Państwo mam przyjemność zaproponować mieszkanie położone na Poznańskich Naramowicach ( ul. Rubież ) w zamkniętym chronionym kompleksie niskich budynków wybudowanych w 2008r. W pobliżu liczne punkty handlowe usługowe banki poczta ...
216,3,65.72,4,Poznań Stare Miasto ul. Dominikańska,Zapraszamy do zapoznania się z nową inwestycją firmy Jakś-Bud! Dominikańska 9 oferuje 52 luksusowe apartamenty o powierzchni od 31 m2 do ponad 200 m2. W cenie już od 7.960 zł./m2 brutto. Ulica Dominikańska znajduje się w samym sercu Poznania i...
217,2,31.37,3,Poznań Grunwald ul. Przybyszewskiego,Serdecznie zapraszam do zapoznania się bardzo ciekawą ofertą sprzedaży mieszkania położonego przy ulicy Przybyszwskiego. Mieszkanie ma powierzchnie 31 37 m2 i dwa pokoje kuchnię korytarz oraz łazienkę i balkon. Do mieszkania przynależy spora...
218,2,46.7,1,Poznań Nowe Miasto ul. Smolna 13 D,Nieruchomości Mieszkania Nieruchomości Mieszkania
219,4,148.1,1,Poznań Naramowice ul. Błażeja,PRZEPIĘKNY APARTAMENT! Z OGRODEM TARASEM DWOMA BALKONAMI i GARAŻEM! KUPUJĄCY NIE PŁACI PROWIZJI! Na sprzedaż 4-pokojowy apartament o powierzchni 148 10m2 (w tym powierzchnia garażu) położony przy ul. Błażeja w dzielnicy Naramowice. Budynek z...
220,2,44.8,1,Poznań Malta ul. Milczańska,NIEZALEŻNE POKOJE! ODDZIELNA KUCHNIA! ŚWIETNA LOKALIZACJA! MIESZKANIE Z POTENCJAŁEM! Na sprzedaż 2-pokojowe mieszkanie o powierzchni 44 80m2 usytuowane na WYSOKIM parterze NISKIEGO bloku z cegły na Ratajach (Malta) na prestiżowym osiedlu przy...
221,3,83.1,1,Poznań Stare Miasto Winiary Naramowice ul. Wilczak,Oferuję Państwu przestronne mieszkanie w przedwojennej kamienicy na pierwszym piętrze. Główne atuty nieruchomości: • bliskość komunikacji miejskiej • cicha i spokojna okolica • w pełni wykończony lokal Nieruchomość złożona z: • pokój 8 2...
222,2,38,4,Poznań Rataje ul. Os.Oświecenia,Polecam mieszkanie 2pokojowe o pow.38m2 na os.Oświecenia usytuowane na 4 piętrze niskiego bloku.Mieszkanie składa się z dwóch niezależnych pokoi(z większego pokoju wyjście na BALKON) kuchni z oknem łazienki oraz korytarza.Mieszkanie ma wymienine...
223,1,26,1,Poznań Poznań-Grunwald ul. Jana Matejki,Oferta sprzedaży mieszkania o łącznej powierzchni 26m2 na 1 piętrze rewitalizowanej zabytkowej kamienicy położonej przy ulicy Matejki jednej z najelegantszych ulic śródmieścia Poznania złożonej głównie z secesyjnych kamienic w bezpośredniej...
224,3,55.57,3,Poznań Nowe Miasto ul. Smolna 13 D,Nieruchomości Mieszkania Nieruchomości Mieszkania
225,2,45.5,2,Poznań Wilda ul. Wilda,Oferuję do sprzedaży 2 pokojowe mieszkanie o pow.45 50m2 w zadbanej kamienicy na Wildzie w Poznaniu.Mieszkanie położone na II piętrze składa się z 2 niezależnych pokoi widnej kuchni przedpokoju oraz łazienki z wc.Mieszkanie z dwustronną wystawą...
226,2,40.48,6,Poznań Winogrady ul. Hawelańska,Nieruchomości Mieszkania Nieruchomości Mieszkania
227,2,48,2,Poznań Centrum ul. Półwiejska,Mieszkania w programie MDM!!! Na sprzedaż klimatyczne mieszkanie o powierzchni 48 40m2 w samym centrum Poznania przy ulicy Długiej. Mieszkanie na 2 piętrze. Standard deweloperski. Budynek wyposażony jest w instalacje elektryczną wod-kan ...
228,2,40,1,Poznań Dębiec ul. Czeremchowa,Kupując z pośrednikiem - kupujesz bezpiecznie z ubezpieczeniem oc od transakcji. Zapraszam do zapoznania się z ofertą sprzedaży 2-pokojowego mieszkania położonego w niskim budynku z cegły na zamkniętym osiedlu przy ul. Czeremchowej (Dębiec)....
229,3,102.8,3,Poznań Winogrady ul. Ugory,Do sprzedaży piękne i luksusowe mieszkanie dwupoziomowe o powierzchni 102 8m2 w cichym zakątku miasta na ul Ugory. Nieruchomość wykończona w bardzo wysokim standardzie z dbałością i finezją w najmniejszych szczegółach. Dolny poziom to otwarta...
230,4,139,4,Poznań Wilda ul. Wierzbięcice,Duże urokliwe mieszkanie z pieknym widokiem na 4 piętrze kamienicy . Mieszkanie posiada dwa niezależne wejścia (dwie klatki schodowe). Do sprzedaży mieszkanie o powierzchni całkowitej 139 m2. Cena sprzedaży wynosi 650 000 zł. Mieszkanie znajduje...
231,2,47,1,Poznań Górczyn ul. Górczyn,Oferujemy do sprzedaży 2 pokojowe mieszkanie o pow.47m2 w rewitalizowanej kamienicy na Górczynie w Poznaniu. Mieszkanie w stanie deweloperskim położone na wysokim parterze składa się z widnej kuchni 2 pokoi przedpokoju oraz łazienki.Przewidywane...
232,2,50,4,Poznań Grunwald ul. Husarska,Polecam na sprzedaż 2 pokojowe mieszkanie o powierzchni 50 m2 położone na 4 piętrze w bloku z lat 60-tych na ul. Husarskiej w dzielnicy Grunwald. Mieszkanie po kapitalnym remoncie. Wymiary pomieszczeń: 1.pokój 21 50m2 2.pokój 10 3m2 korytarz...
233,2,63,4,Poznań Grunwald ul. Jana Matejki,Zachęcam do zapoznania się z ofertą sprzedaży mieszkania położonego w zrewitalizowanej kamienicy znajdującej się na Poznańskim Łazarzu w pobliżu Areny Palmiarni oraz Parku Wilsona Mieszkanie znajduje się na czwartym ostatnim piętrze tej części...
234,2,40,1,Poznań Centrum,Zachęcam do zapoznania się z ofertą sprzedaży designerskiego mieszkania w samym sercu Poznania. Nowoczesne mieszkanie z klimatem o powierzchni 40 m2 (powierzchnia wg KW: 43 9m2 obejmuje piwnicę) po gruntowym remoncie. Lokal składa się z dwóch...
235,3,55.87,5,Poznań Winogrady ul. Hawelańska,Osiedle Nowe Winogrady zbudowaliśmy w północnej części Poznania w sąsiedztwie największego w mieście parku Cytadela i terenów rekreacyjnych nad Wartą. Pasjonaci historii mogą zwiedzać pobliskie stare forty z muzeami militariów. Lokalizacja...
236,2,52.35,1,Poznań Jeżyce Grunwald Stare Miasto Centrum ul. Jackowskiego 27,STYLOWE MIESZKANIE W KAMIENICY UL. JACKOWSKIEGO 27 BEZPOŚREDNIO! OKAZJA!!! Polecamy mieszkanie o powierzchni 52 35 m2 (po podłodze 63 14 m2) w zrewitalizowanej zabytkowej kamienicy w sercu poznańskich Jeżyc. Słoneczne i przestrzenne mieszkanie...
237,2,58,3,Poznań Jeżyce ul. Prusa,Sprzedam 2 pokojowe mieszkanie o powierzchni 58m2 położone na 3 piętrze w kamienicy u zbiegu ulic Słowackiego i Prusa. Składa się ono z salonu z aneksem kuchennym sypialni łazienki (z natryskiem) i przedpokoju. Jest sprzedawane wraz z całym...
238,2,53,2,Poznań Grunwald ul. Potockiej,Iron House poleca na sprzedaż bardzo ciekawe mieszkanie 2-pokojowe zlokalizowane w Poznaniu przy ul. Potockiej (100m od ul. Głogowskiej). Mieszkanie położone jest na 2 piętrze w kamienicy i składa się z dwóch niezależnych pokoi kuchnie łazienki ...
239,3,78.15,1,Poznań Podolany ul. Marii Wicherkiewicz,DOM Z OGRODEM w cenie mieszkania !!! - w cichej bezpiecznej dobrej dzielnicy - Podolany. Ogród ok. 50 m2 Wysoki standard wykonania . Mieszkanie zlokalizowane jest w Zespole domów jednorodzinnych w nowoczesnej zabudowie szeregowej w...
240,2,50.56,4,Poznań ul. Grudzińskiego 7 Swarzędz,Mieszkanie w programie MDM!!! Na sprzedaż mieszkanie o powierzchni 50 56 m2 w samym centrum Swarzędza przy ulicy Grudzińskiego 7. Składa się z salonu kuchni w formie aneksu sypialni łazienki oraz ustawnego korytarza. Do mieszkania przynależy...
241,3,65,3,Poznań Centrum ul. Matejki,Biuro Iron House poleca na sprzedaż bardzo atrakcyjny apartament położony w zrewitalizowanej kamienicy przy zbiegu ulic Matejki i Wyspiańskiego. Lokal znajduje się na 3 pietrze w budynku z windą. Mieszkanie bardzo dobrze usytuowane którego okna...
242,2,56.37,1,Poznań Stare Miasto Winogrady,| NOWY APARTAMENT Z 80 METROWYM TARASEM NA SPRZEDAŻ!!! Poznań- WINOGRADY w pobliżu poznańskiej CYTADELII! Położony w willowej dzielnicy Poznania niedaleko od Centrum. Apartament o pow. 56 37m2 usytuowany na WYSOKIM PARTERZE w...
243,2,39.6,3,Poznań Łazarz ul. Łukaszewicza,Rozkładowe przytulne mieszkanie na trzecim piętrze w bloku mieszkalnym w Poznaniu w dzielnicy Łazarz. Dwa pokoje okna wychodzące na północ wschód zachód; widok na inne budynki. Standard wykończenia: Ściany - gładź gipsowa; Podłogi - panele...
244,2,56.37,1,Poznań Winogrady ul. Żniwna,KUPUJĄCY NIE PŁACI PROWIZJI profesjonalna jakość usług i bezpieczeństwo przebiegu transakcji. MIESZKANIE Z TARASEM Przedmiotem sprzedaży jest mieszkanie o powierzchni 56 37m2 dwupokojowe znajdujące si e na parterze w budynku...
245,1,33.2,5,Poznań Winogrady ul. Hawelańska,Nieruchomości Mieszkania Nieruchomości Mieszkania
246,3,104,1,Poznań Łazarz ul. Głogowska,OKAZJA!!! TRZYPOKOJOWE PRZESTRONNE MIESZKANIE W REWELACYJNEJ LOKALIZACJI NA POZNAŃSKIM ŁAZARZU!!! OPIS MIESZKANIA: Mieszkanie trzypokojowe w centrum na Łazarzu w niedalekiej odległości od ronda Kaponiera o powierzchni 104 m2 znajduje się na 1...
247,2,49,14,Poznań Rataje ul. Os. Tysiąclecia 2 Pokojowe,POLECAM!!! Mieszkanie 2 pokojowe o powierzchni 49m2 znajduącego sie na 14 piętrze w 16 piętrowym bloku z przepięknym widokiem na panoramę Poznania i Jezioro Malta. Mieszkanie o rozkładzie niezależnym powierzchnia pokoi 18m2 12m2 kuchnia 10m2 ...
248,2,44,3,Poznań Wilda ul. Okolice 28 Czerwca 1956 R. Prądzyńskiego,Polecam na sprzedaż ciekawie wykończone mieszkanie dwupokojowe umiejscowione w sercu Wildy. Powierzchnia całkowita 44 m2 na którą składają się dwa pokoje: większy z aneksem kuchennym od frontu budynku oraz mniejszy od dziedzińca. Całość...
249,3,57,1,Poznań Stare Miasto ul. Winogrady,LOKALIZACJA Polecam na sprzedaż gotowe do odbioru mieszkania na nowym osiedlu położone w północnej części Poznania. Funkcjonalne mieszkania w pobliżu Warty i parku. Osiedle składa się z budynków o wysokości od 5 do 8 ptr. Budynek powstały w I...
250,3,77,12,Poznań Rataje ul. Os. Orła Białego,Kupując z pośrednikiem - kupujesz bezpiecznie z ubezpieczeniem OC od transakcji. Zapraszam do zapoznania się z ofertą sprzedaży 3-pokojowego mieszkania zlokalizowanego w wysokim budynku z windą na os. Orła Białego (Rataje). Powierzchnia...
251,2,50,3,Poznań Grunwald,handlowej i danych kontaktowych) OFERTA LICENCJONOWANEGO POŚREDNIKA - GWARANCJĄ BEZPIECZNEJ TRANSAKCJI Mieszkanie o powierzchni 49 7m2 z KW położone w dzielnicy Grunwald na trzecim piętrze bloku z lat 50tych. Pokoje ustawne o pow. 17 i 14 m2 ...
252,2,38,4,Poznań Winogrady ul. Os. Przyjaźni,ZNAKOMITA LOKALIZACJA Sprzedam 2-pok. mieszkanie o pow. 38m2 położone na Os. Przyjaźni. 4-ptr w niskim bloku. UKŁAD MIESZKANIA Duży pokój -16m2 /wyjście na balkon. Sypialnia - 9m2 Kuchnia. Łazienka razem z WC. Korytarz z wnęką do...
253,3,59.1,1,Poznań Grunwald ul. Kamiennogórska,Mieszkać wśród spokojnej zieleni czy dać się porwać rytmowi miasta? Trudny wybór ale nie musi Cię dotyczyć jeśli zamieszkasz na Młodym Grunwaldzie! Poznaj miejsce dzięki któremu skorzystasz z wygód miasta i ciszy Lasku Marcelińskiego! Zrób...
254,3,66,4,Poznań Grunwald ul. Mdm Górczyńska,OFERTA 0% - KUPUJĄCY NIE PŁACI PROWIZJI ! MIESZKANIA DOSTĘPNE W PROGRAMIE MDM - OSTATNIE WOLNE LOKALE ! Komfortowe mieszkania w zrealizowanej inwestycji na poznańskim Grunwaldzie przy ulicy Górczyńskiej. Nowoczesny 11 piętrowy budynek w którym...
255,2,49.5,1,Poznań Grunwald ul. Newtona Os. Kopernika Jugosłowiańska P,2 pokoje 49 50m2 259.000zł - 1 piętro. Zapraszam do zapoznania się z ofertą sprzedaży mieszkania położonego w dzielnicy Grunwald na Os. Kopernika przy ul.Jugosłowiańskiej. Mieszkanie o powierzchni 49 50m2 obejmuje: słoneczny duży pokój (23 2m2)...
256,2,52.58,4,Poznań Stary Rynek,NA SPRZEDAŻ MIESZKANIE Z PATIO W ZREWITALIZOWANEJ KAMIENICY W SAMYM CENTRUM POZNANIA 2 pokojowe mieszkanie o powierzchni całkowitej 54 82 m2 ( pow. użytkowa 52 58m2 ) mieści się na IV piętrze zrewitalizowanej kamienicy przy ul. 23 lutego....
257,2,42.42,10,Poznań Rataje ul. Os. Czecha,Bez prowizji dla pośrednika! Bardzo ładne mieszkanie 2 pokojowe z ODDZIELNĄ KUCHNIĄ Z OKNEM bez lokatorów UMEBLOWANE gotowe do wprowadzenia! PIĘKNY WIDOK Z DUŻEGO BALKONU TYPU LOGGIA. Mieszkanie bardzo ustawne i funkcjonalne dwustronne. Na...
258,1,36.43,1,Poznań Łazarz ul. Kasprzaka 13,Na tyłach szkoły muzycznej pomiędzy ulicami Kasprzaka i Głogowską powstaje niepowtarzalny projekt INVENTIA który harmonijnie łączy historię i dzień dzisiejszy. Znakomite położenie w bezpośrednim sąsiedztwie Międzynarodowych Targów...
259,1,34.3,1,Poznań Grunwald ul. Promienista,Mieszkanie dostępne w ramach MDM na rynku wtórnym. Szacunkowe kwoty dopłat: a) singiel 18 000 PLN - wówczas cena 1 m2 wyniesie 4322 PLN/m2 b) małżeństwo z jednym dzieckiem 27 000 PLN - wówczas cena 1 m2 wyniesie 4059 PLN/m2 W ofercie...
260,4,104,3,Poznań ul. Palacza,ATRAKCYJNE DWUPOZIOMOWE MIESZKANIE NA GRUNWALDZIE. Główne atuty nieruchomości: • doskonała komunikacja z centrum • cicha i spokojna okolica • położenie z dala od głównej jezdni Nieruchomość złożona z: • pokój dzienny 22 1 m.kw • kuchnia z...
261,3,64,9,Poznań Śródka Centrum Rataje ul. Orła Białego,POLECAM NA SPRZEDAŻ mieszkanie w bloku na Poznańskich Ratajach. Powierzchnia mieszkania to 64 3 m2. Powierzchnia pomieszczeń to: Salon: 24 3 m2 Pokój większy: 11 6 m2 Pokój mniejszy: 8 4 m2 kuchnia: 7 6 m2. Balkon po wewnętrznej stronie...
262,2,37,2,Poznań Nowe Miasto ul. Gnieźnieńska,Mieszkanie położone w Poznaniu przy ul. Gnieźnieńskiej na drugim piętrze w trzy piętrowej kamienicy. Lokal po generalnym remoncie wymienione instalacje elektryczne wod-kan gazowa i c.o. nowe okładziny ścian i podłóg rolety zewnętrzne....
263,2,50,3,Poznań Łazarz Grunwald Górczyn Ogrody Jeżyce Cen ul. Chociszewskiego - Blok Z Cegły!!!,BEZPIECZNA TRANSAKCJA JEDYNIE Z DOŚWIADCZONYM I LICENCJONOWANYM POŚREDNIKIEM!!! 100 % SATYSFAKCJI Z ZAKUPU!!! Polecam do zakupu mieszkanie 2 pokojowe położone na Łazarzu ( ul. Chociszewskiego ). Na 49 7 m2 składają się dwa ustawne pokoje ( ok....
264,2,46.8,1,Poznań Naramowice ul. Błażeja,Osiedle Na Skraju Lasu to nowoczesny kompleks mieszkaniowy złożony z trzech kameralnych budynków łączący nowoczesną architekturę belgijskie standardy budowy najlepszą lokalizację w dzielnicy i przystępne ceny. Zastosowane detale...
265,3,54,3,Poznań Winogrady ul. Os. Powstańców Warszawy,Polecam przytulne 3-pokojowe mieszkanie o powierzchni 54m2 położone na 3 piętrze niskiego bloku na osiedlu Powstańców Warszawy. Mieszkanie w dobrej lokalizacji blisko PST i przystanek autobusowy. W poblizu CH PESTKA Kaufland Makro sklepiki...
266,1,33,1,Poznań Jeżyce Sołacz ul. Sokoła,Oferuję na sprzedaż kawalerkę 33 M2 z pełnym wyposażeniem na ul. Sokoła . Mieszkanie znajduje się na wysokim parterze 4 pietrowego bloku z 1995 roku. Kawalerka składa się z dużego pokoju z aneksem łazienki przedpokoju. Pokoj w pełni...
267,3,53.7,3,Poznań Grunwald ul. Hetmańska,MIESZKANIE PO GENERALNYM REMONCIE Z OGRÓDKIEM ( 120 M2) .MIESZKANIE Z ORYGINALNYMI DREWNIANYMI PODŁOGAMI. MOŻLIWA OPCJA ZAKUPU Z SYSTEMIE MDM. Mieszkanie położone w dobrze skomunikowanej dzielnicy leżącej na obrzeżach Centrum Poznaniu tj. na...
268,1,32.3,3,Poznań Stare Miasto ul. Dominikańska,Zapraszamy do zapoznania się z nową inwestycją firmy Jakś-Bud! Dominikańska 9 oferuje 52 luksusowe apartamenty o powierzchni od 31 m2 do ponad 200 m2. W cenie już od 7.960 zł./m2 brutto. Ulica Dominikańska znajduje się w samym sercu Poznania i...
269,4,74,1,Poznań Kórnik ul. 0 Prowizji Dla Kupującego,OFERTA LICENCJONOWANEGO POŚREDNIKA - GWARANCJA BEZPIECZNEJ TRANSAKCJI!!! Jasne przestronne optymalnie zaprojektowane domy w których znajdują się 4 odrębne lokale 2 lokale na parterze oraz 2 lokale na piętrze. Lokale na piętrze są lokalami...
270,2,44,1,Poznań ul. Os. Piastowskie,Witam mam na imię Agata i w biurze nieruchomości Platan Investments pomagam moim klientom w odnalezieniu wymarzonego mieszkania. Robię to sprawnie i konkretnie mając na uwadze ulubioną mantrę- czas to pieniądz . Osiedle Piastowskie jest...
271,1,38.79,8,Poznań Piątkowo ul. Kurpińskiego,Nieruchomości Mieszkania Nieruchomości Mieszkania
272,2,49,1,Poznań Naramowice ul. Naramowicka,Zapraszam do zapoznania się z ofertą sprzedaży atrakcyjnego mieszkania dwupokojowego na poznańskich Naramowicach w obiekcie Jasna Rola usytuowanego przy ulicy Naramowickiej 171. Mieszkanie położone na wysokim parterze od ulicy wysokość 1 piętra....
273,2,62.57,4,Poznań Piątkowo ul. Kurpińskiego,Nieruchomości Mieszkania Nieruchomości Mieszkania
274,2,34,1,Poznań Dębiec ul. Jaworowa,Nieruchomości Mieszkania Nieruchomości Mieszkania
275,3,47.3,4,Poznań Winogrady ul. Os. Kosmonautów,Polecam na sprzedaż mieszkanie 3-pokojowe o powierzchni 47 3 m2 usytuowane na 4 piętrze w niskim bloku zlokalizowane na Os. Kosmonautów Winogrady. Do mieszkania przynależy piwnica 3 3 m2. Dookoła budynku dużo zieleni. Blok po termoizolacji....
